Sample,Replicate,Site,Treatment,Month,Temp,PAR,FvFm,ETR,Yield,qP,qN
Vau_L_16,4,List,Field,September,13.56,11,0.712,3.3,0.712,0.989,0
Vau_L_16,4,List,Field,September,13.56,60,0.712,18.3,0.727,1,0
Vau_L_16,4,List,Field,September,13.56,100,0.712,31.2,0.742,1,0
Vau_L_16,4,List,Field,September,13.56,170,0.712,52.6,0.736,1,0
Vau_L_16,4,List,Field,September,13.56,270,0.712,79.8,0.704,0.989,0
Vau_L_16,4,List,Field,September,13.56,420,0.712,117.1,0.664,0.92,0.033
Vau_L_16,4,List,Field,September,13.56,600,0.712,152.9,0.607,0.877,0.09
Vau_L_16,4,List,Field,September,13.56,970,0.712,234.4,0.575,0.859,0.211
Vau_L_16,4,List,Field,September,13.56,1410,0.712,327.6,0.553,0.867,0.341
Vau_L_16,4,List,Field,September,13.56,2110,0.712,295.4,0.333,0.591,0.516
Vau_L_16,4,List,Field,September,13.56,3210,0.712,260.9,0.194,0.4,0.677
Vau_L_17,5,List,Field,September,13.56,11,0.675,3.5,0.748,1,0.086
Vau_L_17,5,List,Field,September,13.56,60,0.675,18.3,0.725,1,0
Vau_L_17,5,List,Field,September,13.56,100,0.675,29,0.69,0.967,0
Vau_L_17,5,List,Field,September,13.56,170,0.675,50.3,0.704,0.967,0
Vau_L_17,5,List,Field,September,13.56,270,0.675,78.1,0.689,0.955,0
Vau_L_17,5,List,Field,September,13.56,420,0.675,115.6,0.655,0.918,0
Vau_L_17,5,List,Field,September,13.56,600,0.675,152.5,0.605,0.863,0
Vau_L_17,5,List,Field,September,13.56,970,0.675,239,0.587,0.871,0.125
Vau_L_17,5,List,Field,September,13.56,1410,0.675,239.5,0.404,0.667,0.316
Vau_L_17,5,List,Field,September,13.56,2110,0.675,287.4,0.324,0.6,0.5
Vau_L_17,5,List,Field,September,13.56,3210,0.675,NA,NA,NA,NA
